attribute-level,poster,artist,count,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2019,White Reaper,1,single,The Pit,27,5,4,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Blaenavon,1,single,Festival Republic Stage,28,1,5,T,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,SWMRS,1,shared,Festival Republic Stage,29,2,5,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Basement,1,shared,Festival Republic Stage,29,2,5,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Bakar,1,shared,Festival Republic Stage,29,2,5,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Cavetown,1,shared,Festival Republic Stage,30,3,5,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Anteros,1,shared,Festival Republic Stage,30,3,5,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Himalayas,1,shared,Festival Republic Stage,31,4,5,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Valeras,1,shared,Festival Republic Stage,31,4,5,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,The Snuts,1,shared,Festival Republic Stage,32,5,5,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Moontower,1,shared,Festival Republic Stage,32,5,5,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,AE Mak,1,single,Festival Republic Stage,33,6,5,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,NOT3S,1,single,BBC Radio 1Xtra Stage,34,1,6,T,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Loski,1,shared,BBC Radio 1Xtra Stage,35,2,6,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,NSG,1,shared,BBC Radio 1Xtra Stage,35,2,6,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Tion Wayne,1,single,BBC Radio 1Xtra Stage,36,3,6,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Tommy Genesis,1,single,BBC Radio 1Xtra Stage,37,4,6,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2019,Kenny Allstar,1,single,BBC Radio 1Xtra Stage,38,5,6,F,F,white,sunday/25,friday/23,red/yellow,split,T,F,6,151
,2018,Fall Out Boy,1,shared,main,1,1,1,T,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Travis Scott,1,shared,main,2,2,1,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,The Kooks,1,shared,main,3,3,1,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,The Wombats,1,shared,main,4,4,1,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Post Malone,1,single,main,5,5,1,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Creeper,1,shared,main,6,6,1,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Waterparks,1,shared,main,7,7,1,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,The Regrettes,1,shared,main,8,8,1,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Big Shaq and Friends,1,shared,main,9,9,1,F,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
,2018,Wolf Alice,1,shared,BBC Radio 1 Stage,10,1,2,T,F,black,friday/24,saturday/25,yellow,shared,T,F,7,239
