20,poster,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,artist,poster,poster,poster,poster,poster,poster
attribute,year,artist name,single or shared line,stage,poster rank,artist stage rank,stage rank,headliner,logo,color,day/date reading,day/date leeds,poster color,split or shared poster,arrow motif,spike motif,# of stages,# of artists
,2011,Dry the River,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Dutch Uncles,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Fight Like Apes,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Flats,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Foster the People,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Grouplove,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Islet,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Little Comets,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Mariachi El Bronx,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Mini Mansions,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Nightbox,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Our Fold,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Romance,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Royal Bangs,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,She Keeps Bees,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Smith Westerns,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Tribes,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Twin Atlantic,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Yellowire,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Young Legionnaire,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Rizzle Kicks,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,General Fiasco,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Fixers,shared,Festival Republic Stage,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,A Genuine Freakshow,shared,BBC Music Introducing,-1,-1,5,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Anguish Sandwich,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Arther Rigby and the Baskervylles,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Black Diamond Bay,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,The Bronze Medal,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Castravalva,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Circles,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Clock Opera,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Courage Have Courage,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Cuba Cuba,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Daughter,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Discopolis,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Don Broco,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
,2011,Funeral Suits,shared,BBC Music Introducing,-1,-1,6,F,F,black,unspecified,unspecified,yellow,split,F,T,5,167
